Respondent id number,Region of interview,Rs religious preference,Was r's work part-time or full-time?,Sexual orientation,Rs income in constant $,Hispanic specified,Race of household,Ballot used for interview,R's socioeconomic index (2010),Rs family income when 16 yrs old,Race of respondent,Respondents sex,Number of hours worked last week,R self-emp or works for somebody,Marital status,Number of children,Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Total family income
1521,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,38.8,Average,White,Female,Not applicable,Someone else,Married,2,68,13,15,12,16,$90000 to $109999
1522,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,31,Average,White,Male,Not applicable,Someone else,Never married,0,55,12,12,12,Not applicable,$20000 to 22499
1523,New england,Catholic,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,75.5,Above average,White,Male,60,Someone else,Married,2,47,16,13,12,14,$110000 to $129999
1524,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,58.4,Below average,White,Male,Not applicable,Someone else,Divorced,4,64,14,8,9,Not applicable,$25000 to 29999
1525,New england,Protestant,Not applicable,Not applicable,0,Puerto rican,"Other, mixed",Ballot a,13.6,Far below average,White,Female,Not applicable,Someone else,Never married,2,73,8,Don't know,Don't know,Not applicable,$10000 to 12499
1526,New england,Protestant,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,32.6,Average,White,Female,Not applicable,Someone else,Divorced,2,80,12,12,12,Not applicable,$12500 to 14999
1527,New england,Other,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,30.9,Average,White,Female,Not applicable,Someone else,Divorced,1,57,16,12,Not applicable,Not applicable,$8 000 to 9 999
1528,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,36.9,Average,White,Female,Not applicable,Someone else,Never married,0,55,16,Don't know,12,Not applicable,$12500 to 14999
1529,New england,Catholic,Part-time,Not applicable,234,Not hispanic,White,Ballot a,52,Average,White,Female,Not applicable,Someone else,Divorced,6,86,12,7,5,Not applicable,$22500 to 24999
1530,New england,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot c,82.5,Above average,White,Male,60,Someone else,Never married,0,47,20,12,12,Not applicable,$60000 to 74999
1531,New england,Protestant,Full-time,Not applicable,164382.0376,Not hispanic,White,Ballot a,78.3,Above average,White,Male,40,Self-employed,Married,2,52,18,Not applicable,12,18,$170000 or over
1532,New england,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,52,Average,White,Female,Not applicable,Someone else,Separated,3,61,14,5,12,Not applicable,$12500 to 14999
1533,New england,None,Full-time,"Gay, lesbian, or homosexual",9945,Not hispanic,White,Ballot b,25.7,Average,White,Male,43,Someone else,Divorced,0,34,20,12,12,Not applicable,$75000 to $89999
1534,New england,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,32.6,Average,White,Male,Not applicable,Self-employed,Married,0,65,18,12,16,16,Refused
1535,New england,Catholic,Part-time,Heterosexual or straight,2106,Not hispanic,White,Ballot b,12.6,Below average,White,Female,Not applicable,Someone else,Married,2,69,12,Not applicable,8,13,$40000 to 49999
1536,New england,None,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,84.5,Average,White,Male,35,Someone else,Never married,2,53,18,16,12,Not applicable,$60000 to 74999
1537,New england,Protestant,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,91.1,Average,White,Female,35,Self-employed,Never married,0,64,19,Not applicable,18,Not applicable,$35000 to 39999
1538,Middle atlantic,Protestant,Full-time,Heterosexual or straight,74880,Not hispanic,White,Ballot b,88.6,Below average,White,Male,40,Someone else,Divorced,2,68,16,12,Don't know,Not applicable,$170000 or over
1539,Middle atlantic,Protestant,Part-time,Not applicable,0,Not hispanic,White,Ballot a,41.8,Average,White,Female,Not applicable,Someone else,Widowed,3,66,14,12,8,Not applicable,$20000 to 22499
1540,Middle atlantic,Protestant,Full-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,43,Average,Black,Male,Not applicable,Someone else,Never married,0,43,13,6,6,Not applicable,$17500 to 19999
1541,Middle atlantic,None,Part-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,23.3,Average,White,Female,38,Someone else,Divorced,2,21,11,14,12,Not applicable,$35000 to 39999
1542,Middle atlantic,Protestant,Part-time,Heterosexual or straight,8775,Not hispanic,White,Ballot c,24.2,Average,White,Female,27,Someone else,Widowed,2,60,13,8,10,Not applicable,$60000 to 74999
1543,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,38.8,Far above average,White,Female,Not applicable,Someone else,Never married,1,46,12,8,20,Not applicable,$12500 to 14999
1544,Middle atlantic,Catholic,Full-time,Not applicable,3042,Not hispanic,White,Ballot a,13.6,Above average,White,Male,Not applicable,Someone else,Never married,0,23,15,12,12,Not applicable,$6 000 to 6 999
1545,Middle atlantic,None,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,25.2,Average,White,Male,89,Self-employed,Never married,2,33,8,Don't know,12,Not applicable,$22500 to 24999
1546,Middle atlantic,None,Part-time,Not applicable,1638,Not hispanic,White,Ballot a,80.9,Average,White,Male,Not applicable,Someone else,Divorced,2,66,18,12,12,Not applicable,$60000 to 74999
1547,Middle atlantic,Catholic,Part-time,Heterosexual or straight,4212,Dominican,Black,Ballot c,12.6,Far below average,Other,Female,20,Someone else,Divorced,3,43,11,Not applicable,8,Not applicable,$10000 to 12499
1548,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,234,Puerto rican,White,Ballot b,10.6,Below average,Other,Female,4,Someone else,Separated,3,40,12,Not applicable,4,Not applicable,Under $1 000
1549,Middle atlantic,Jewish,Full-time,"Gay, lesbian, or homosexual",21060,Not hispanic,White,Ballot c,71.8,Average,White,Female,39,Someone else,Married,0,59,16,16,14,16,$75000 to $89999
1550,Middle atlantic,None,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,52,Below average,White,Male,Not applicable,Someone else,Divorced,1,66,12,Don't know,Don't know,Not applicable,$12500 to 14999
1551,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Dominican,White,Ballot b,91.1,Average,Other,Female,Not applicable,Someone else,Separated,4,42,17,8,8,Not applicable,$10000 to 12499
1552,Middle atlantic,Jewish,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot b,78.3,Far above average,White,Male,89,Self-employed,Married,1,54,16,16,16,20,$150000 to $169999
1553,Middle atlantic,None,Full-time,Not applicable,6435,Not hispanic,White,Ballot a,23.8,Average,White,Male,45,Someone else,Never married,0,24,14,16,14,Not applicable,$12500 to 14999
1554,Middle atlantic,Jewish,Full-time,Heterosexual or straight,0,Not hispanic,"Other, mixed",Ballot c,56.8,Below average,White,Female,34,Someone else,Never married,1,36,14,Not applicable,18,Not applicable,$3 000 to 3 999
1555,Middle atlantic,Protestant,Full-time,Heterosexual or straight,5265,Not hispanic,White,Ballot b,25,Average,White,Male,40,Someone else,Never married,0,52,12,12,12,Not applicable,$35000 to 39999
1556,Middle atlantic,None,Full-time,Not applicable,3042,Not hispanic,White,Ballot a,44.5,Average,White,Male,48,Someone else,Never married,1,26,12,14,19,Not applicable,$35000 to 39999
1557,Middle atlantic,Jewish,Part-time,Heterosexual or straight,3510,Not hispanic,White,Ballot c,39.7,Above average,White,Female,17,Someone else,Divorced,0,64,12,12,12,Not applicable,$15000 to 17499
1558,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,77.4,Average,White,Male,Not applicable,Someone else,Married,3,77,12,8,12,12,$50000 to 59999
1559,Middle atlantic,No answer,Full-time,Not applicable,0,Not hispanic,White,Ballot c,-1,No answer,White,Female,40,Someone else,Married,2,63,No answer,Don't know,12,No answer,Refused
1560,Middle atlantic,Buddhism,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,37.6,Above average,White,Male,40,Someone else,Divorced,3,58,16,20,16,Not applicable,$60000 to 74999
1561,Middle atlantic,Buddhism,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,37.2,Average,White,Female,Not applicable,Someone else,Never married,0,76,16,14,12,Not applicable,Refused
1562,Middle atlantic,Catholic,Part-time,Not applicable,2574,Not hispanic,White,Ballot a,32.6,Below average,White,Male,16,Someone else,Widowed,5,68,16,12,12,Not applicable,$22500 to 24999
1563,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,38.3,Average,White,Female,Not applicable,Someone else,Widowed,2,89 or older,12,10,8,Not applicable,$17500 to 19999
1564,Middle atlantic,Protestant,Full-time,Bisexual,2106,Not hispanic,White,Ballot b,24.2,Above average,White,Female,Not applicable,Someone else,Never married,0,20,13,16,17,Not applicable,$130000 to $149999
1565,Middle atlantic,Protestant,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,46,Average,White,Female,54,Self-employed,Married,2,63,12,12,8,18,$60000 to 74999
1566,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,76.3,Average,White,Female,Not applicable,Someone else,Never married,0,57,14,17,16,Not applicable,$10000 to 12499
1567,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,33.2,Above average,White,Female,Not applicable,Someone else,Divorced,4,66,11,8,10,Not applicable,$12500 to 14999
1568,Middle atlantic,Catholic,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,67.7,Average,White,Female,40,Someone else,Widowed,1,63,18,16,20,Not applicable,$75000 to $89999
1569,Middle atlantic,None,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,73.9,Below average,White,Male,Not applicable,Someone else,Divorced,2,75,20,8,8,Not applicable,$50000 to 59999
1570,Middle atlantic,Jewish,Part-time,Heterosexual or straight,234,Not hispanic,White,Ballot c,73.6,Far below average,White,Female,15,Self-employed,Widowed,1,66,19,20,18,Not applicable,$75000 to $89999
1571,Middle atlantic,None,Full-time,Heterosexual or straight,31590,Not hispanic,White,Ballot b,59.1,Far below average,White,Male,50,Self-employed,Married,2,53,16,Not applicable,12,16,$60000 to 74999
1572,Middle atlantic,Jewish,Full-time,Not applicable,38610,Not hispanic,White,Ballot a,75.5,Below average,White,Female,40,Someone else,Married,1,49,16,16,16,15,$90000 to $109999
1573,Middle atlantic,None,Full-time,Heterosexual or straight,46800,Not hispanic,White,Ballot c,75.5,Average,White,Male,40,Someone else,Married,1,57,18,9,8,18,$130000 to $149999
1574,Middle atlantic,Other,Full-time,Bisexual,21060,Not hispanic,White,Ballot c,49.2,Average,White,Female,48,Someone else,Divorced,2,41,13,Not applicable,10,Not applicable,$90000 to $109999
1575,Middle atlantic,None,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,71.7,Below average,White,Female,45,Someone else,Never married,0,42,18,17,16,Not applicable,$60000 to 74999
1576,Middle atlantic,None,Full-time,Heterosexual or straight,25740,Not hispanic,White,Ballot c,86.7,Average,White,Male,Not applicable,Someone else,Married,0,38,16,20,18,20,$75000 to $89999
1577,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Puerto rican,White,Ballot c,27,Below average,White,Male,Not applicable,Someone else,Married,4,34,11,11,14,12,Refused
1578,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,32,Average,White,Male,Not applicable,Someone else,Widowed,2,72,9,Don't know,Don't know,Not applicable,Under $1 000
1579,Middle atlantic,Protestant,Full-time,Heterosexual or straight,2574,Not hispanic,Black,Ballot c,24.2,Below average,Black,Female,Not applicable,Someone else,Married,3,39,10,16,10,12,$5 000 to 5 999
1580,Middle atlantic,Protestant,Full-time,Not applicable,8775,Not hispanic,White,Ballot a,21.6,Below average,White,Female,Not applicable,Someone else,Divorced,2,38,10,10,14,Not applicable,$25000 to 29999
1581,Middle atlantic,Protestant,Full-time,Not applicable,17550,Not hispanic,White,Ballot a,39.7,Average,White,Male,68,Self-employed,Separated,3,55,12,12,12,Not applicable,$35000 to 39999
1582,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,82.5,Average,White,Male,Not applicable,Someone else,Married,4,85,18,12,12,12,$60000 to 74999
1583,Middle atlantic,Protestant,Full-time,"Gay, lesbian, or homosexual",6435,Not hispanic,Black,Ballot c,32.6,Above average,White,Male,37,Self-employed,Never married,0,32,14,14,12,Not applicable,$40000 to 49999
1584,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,Black,Ballot b,38.8,Above average,Black,Female,Not applicable,Someone else,Married,3,42,16,9,18,Don't know,$10000 to 12499
1585,Middle atlantic,Catholic,Full-time,Not applicable,25740,Not hispanic,White,Ballot a,71.8,Above average,White,Male,85,Someone else,Never married,0,35,13,Not applicable,12,Not applicable,$60000 to 74999
1586,Middle atlantic,Other,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,43.9,Far below average,Other,Female,Not applicable,Someone else,Never married,0,33,9,Don't know,Don't know,Not applicable,Don't know
1587,Middle atlantic,Catholic,Full-time,Heterosexual or straight,9945,Not hispanic,Black,Ballot c,12.6,Far above average,Black,Female,40,Someone else,Married,2,32,14,14,Don't know,18,$35000 to 39999
1588,Middle atlantic,Catholic,Part-time,Heterosexual or straight,7605,Not hispanic,White,Ballot c,34.8,Average,White,Female,18,Someone else,Never married,0,67,18,8,12,Not applicable,$75000 to $89999
1589,Middle atlantic,Protestant,Full-time,Heterosexual or straight,15210,Not hispanic,White,Ballot b,37.6,Average,White,Male,50,Someone else,Never married,0,28,14,12,12,Not applicable,$30000 to 34999
1590,Middle atlantic,Protestant,Part-time,Not applicable,15210,Not hispanic,White,Ballot a,82.5,Below average,White,Female,25,Someone else,Married,7,59,14,10,14,14,$75000 to $89999
1591,Middle atlantic,Catholic,Full-time,Heterosexual or straight,17550,Not hispanic,White,Ballot c,27.2,Below average,White,Male,Not applicable,Someone else,Married,1,57,12,12,12,12,$60000 to 74999
1592,Middle atlantic,Protestant,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot b,57.4,Average,White,Male,Not applicable,Someone else,Never married,1,51,13,16,12,Not applicable,$60000 to 74999
1593,Middle atlantic,None,Full-time,Not applicable,21060,Not hispanic,White,Ballot a,62.9,Average,White,Female,Not applicable,Someone else,Divorced,2,66,16,16,14,Not applicable,$60000 to 74999
1594,Middle atlantic,Catholic,Full-time,Heterosexual or straight,21060,Not hispanic,White,Ballot c,67.7,Below average,White,Male,40,Someone else,Married,1,35,14,12,12,13,$130000 to $149999
1595,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,36.9,Above average,White,Female,40,Someone else,Married,1,28,16,16,16,14,$75000 to $89999
1596,Middle atlantic,None,Full-time,Heterosexual or straight,38610,Not hispanic,White,Ballot c,84.5,Average,White,Female,48,Someone else,Married,2,52,20,14,12,16,$150000 to $169999
1597,Middle atlantic,Catholic,Not applicable,Heterosexual or straight,0,Not hispanic,White,Ballot c,75.2,Far below average,White,Male,Not applicable,Someone else,Widowed,2,89 or older,12,8,8,Not applicable,$50000 to 59999
1598,Middle atlantic,Protestant,Not applicable,Not applicable,0,Not hispanic,White,Ballot a,25.7,Average,White,Female,Not applicable,Someone else,Widowed,3,69,12,8,16,Not applicable,$40000 to 49999
1599,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot c,34.7,Average,White,Male,50,Someone else,Divorced,2,55,14,12,12,Not applicable,$25000 to 29999
1600,Middle atlantic,Protestant,Full-time,Not applicable,31590,Not hispanic,White,Ballot a,65.3,Below average,White,Male,40,Someone else,Married,3,48,13,12,12,15,$75000 to $89999
1601,Middle atlantic,Catholic,Not applicable,Not applicable,0,Not hispanic,White,Ballot c,60.3,Average,White,Female,Not applicable,Someone else,Married,2,67,12,12,11,14,Refused
1602,Middle atlantic,Catholic,Full-time,Heterosexual or straight,0,Not hispanic,White,Ballot b,67.7,Below average,White,Female,32,Someone else,Married,3,36,13,12,14,14,$150000 to $169999
